년월,고객ID,성별,연령대,가입일,해지일,요금제,단말기기종,상태,상태사유,신용등급,선택약정여부,요금제가격,월평균요금,데이터사용량(GB),가입자수
202503,CUST0173,M,20대,2022-10-28,2023-01-06,디즈니+ 초이스 프리미엄,iPhone SE,해지,요금 불만,2등급,Y,130000,81222,44.1,0
202504,CUST0174,F,30대,2023-03-25,0000-00-00,디즈니+ 초이스 스페셜,Galaxy A32,일시정지,사용 중단 예정,1등급,Y,110000,82402,31.3,1
202503,CUST0175,F,40대,2023-07-28,2024-08-26,디즈니+ 초이스 베이직,iPhone SE,해지,서비스 품질 문제,4등급,Y,90000,65896,10.8,0
202504,CUST0176,F,30대,2021-11-10,2024-02-11,넷플릭스 초이스 스페셜,iPhone SE,해지,장기 미사용,2등급,N,110000,82054,33.8,0
202505,CUST0177,M,60대 이상,2020-10-02,0000-00-00,왓챠 초이스 베이직,iPhone SE,정상,사용중,1등급,N,90000,65601,24.1,1
202503,CUST0178,M,30대,2021-04-11,0000-00-00,지니 초이스 프리미엄,iPhone SE,일시정지,일시적인 요금 부담,2등급,Y,130000,88171,48.5,1
202505,CUST0179,F,20대,2024-02-05,0000-00-00,TVING 초이스 프리미엄,iPhone SE,정상,사용중,5등급,N,130000,86151,54.5,1
202504,CUST0180,M,10대,2025-01-28,0000-00-00,넷플릭스 초이스 프리미엄,Galaxy Z Flip5,일시정지,사용 중단 예정,5등급,N,130000,83618,58.8,1
202505,CUST0181,F,40대,2022-04-08,2024-11-19,지니 초이스 베이직,Galaxy A32,해지,단순 해지 요청,5등급,Y,90000,66780,23,0
202504,CUST0182,F,30대,2021-02-02,0000-00-00,왓챠 초이스 스페셜,LG Wing,일시정지,해외 장기 출장,1등급,Y,110000,83431,27.1,1
202505,CUST0183,F,60대 이상,2024-10-11,0000-00-00,TVING 초이스 베이직,LG Wing,일시정지,일시적인 요금 부담,1등급,Y,90000,69160,11.4,1
202504,CUST0184,M,60대 이상,2025-03-10,0000-00-00,디즈니+ 초이스 프리미엄,iPhone 14,일시정지,사용 중단 예정,4등급,Y,130000,85810,47,1
202504,CUST0185,F,20대,2023-05-04,0000-00-00,유튜브 프리미엄 초이스 프리미엄,iPhone SE,정상,사용중,5등급,Y,130000,87950,52,1
202504,CUST0186,M,10대,2023-06-12,0000-00-00,TVING 초이스 베이직,Galaxy S22,정상,사용중,1등급,Y,90000,64275,20.8,1
202505,CUST0187,M,20대,2022-06-21,0000-00-00,왓챠 초이스 스페셜,Galaxy S22,일시정지,단말기 분실,2등급,Y,110000,78551,37.3,1
202504,CUST0188,M,40대,2023-02-07,0000-00-00,TVING 초이스 프리미엄,LG Wing,정상,사용중,3등급,Y,130000,85003,50,1
202504,CUST0189,M,60대 이상,2021-11-30,2023-12-21,유튜브 프리미엄 초이스 베이직,Galaxy Z Flip5,해지,단순 해지 요청,3등급,N,90000,66344,17.7,0
202503,CUST0190,F,60대 이상,2024-09-18,0000-00-00,유튜브 프리미엄 초이스 베이직,Galaxy S22,일시정지,일시적인 요금 부담,1등급,Y,90000,65157,15.2,1
202503,CUST0191,M,60대 이상,2025-04-21,0000-00-00,유튜브 프리미엄 초이스 프리미엄,LG Wing,정상,사용중,5등급,Y,130000,82732,44,1
202504,CUST0192,M,50대,2024-01-29,2023-01-23,TVING 초이스 프리미엄,LG Wing,해지,요금 불만,3등급,Y,130000,81703,54.3,0
202503,CUST0193,F,40대,2023-03-24,2024-03-13,TVING 초이스 프리미엄,Galaxy Z Flip5,해지,단순 해지 요청,5등급,Y,130000,86692,50.5,0
202504,CUST0194,F,30대,2022-12-16,2023-08-01,유튜브 프리미엄 초이스 베이직,Galaxy S22,해지,요금 불만,4등급,Y,90000,67284,11.5,0
202503,CUST0195,M,10대,2020-09-16,0000-00-00,유튜브 프리미엄 초이스 베이직,Galaxy S22,정상,사용중,3등급,Y,90000,64884,19.2,1
202505,CUST0196,F,60대 이상,2021-06-15,0000-00-00,넷플릭스 초이스 스페셜,Galaxy A32,일시정지,해외 장기 출장,1등급,Y,110000,84637,25.1,1
202504,CUST0197,M,20대,2023-01-09,2024-07-12,유튜브 프리미엄 초이스 베이직,iPhone 14,해지,타사로 이동,3등급,Y,90000,64367,12.2,0
202504,CUST0198,M,30대,2020-09-15,2023-01-23,디즈니+ 초이스 스페셜,LG Wing,해지,요금 불만,3등급,Y,110000,82847,27.2,0
202503,CUST0199,F,10대,2021-05-23,0000-00-00,지니 초이스 베이직,Galaxy S22,일시정지,해외 장기 출장,2등급,Y,90000,70347,24.8,1
202505,CUST0200,M,20대,2022-02-19,0000-00-00,디즈니+ 초이스 스페셜,iPhone SE,일시정지,사용 중단 예정,2등급,N,110000,83388,29.9,1
202503,CUST0201,F,40대,2024-05-20,0000-00-00,유튜브 프리미엄 초이스 베이직,iPhone SE,정상,사용중,2등급,N,90000,70801,11.6,1
202505,CUST0202,M,10대,2021-01-01,0000-00-00,왓챠 초이스 스페셜,Galaxy S22,일시정지,해외 장기 출장,2등급,Y,110000,85072,28.4,1
202505,CUST0203,F,40대,2023-06-15,0000-00-00,디즈니+ 초이스 프리미엄,LG Wing,일시정지,단말기 분실,4등급,Y,130000,85672,55.3,1
202505,CUST0204,M,30대,2021-09-12,0000-00-00,넷플릭스 초이스 베이직,LG Wing,정상,사용중,1등급,N,90000,68278,19.6,1
202505,CUST0205,M,40대,2025-02-25,0000-00-00,지니 초이스 프리미엄,Galaxy Z Flip5,일시정지,해외 장기 출장,2등급,Y,130000,84514,42,1
202503,CUST0206,F,20대,2022-01-30,0000-00-00,지니 초이스 스페셜,iPhone SE,정상,사용중,3등급,N,110000,82972,31.6,1
202503,CUST0207,M,20대,2020-09-17,0000-00-00,TVING 초이스 스페셜,iPhone SE,정상,사용중,5등급,Y,110000,86033,33.3,1
202504,CUST0208,F,40대,2021-03-11,2025-06-15,디즈니+ 초이스 프리미엄,iPhone 14,해지,요금 불만,3등급,Y,130000,87048,42.5,0
202505,CUST0209,F,20대,2024-01-31,0000-00-00,TVING 초이스 프리미엄,Galaxy S22,일시정지,해외 장기 출장,3등급,Y,130000,84352,44.4,1
202503,CUST0210,F,40대,2024-09-28,0000-00-00,지니 초이스 스페셜,iPhone SE,일시정지,일시적인 요금 부담,5등급,Y,110000,85167,27.8,1
202505,CUST0211,F,20대,2022-02-25,0000-00-00,TVING 초이스 베이직,Galaxy Z Flip5,일시정지,일시적인 요금 부담,2등급,Y,90000,67359,16.5,1
202505,CUST0212,M,50대,2021-10-05,2022-12-13,넷플릭스 초이스 베이직,Galaxy A32,해지,타사로 이동,2등급,Y,90000,68112,25,0
202503,CUST0213,F,40대,2024-09-06,0000-00-00,넷플릭스 초이스 베이직,LG Wing,정상,사용중,2등급,N,90000,65474,12.9,1
202504,CUST0214,F,60대 이상,2024-09-15,0000-00-00,넷플릭스 초이스 베이직,Galaxy S22,정상,사용중,2등급,N,90000,66749,22.9,1
202505,CUST0215,M,60대 이상,2022-08-26,2023-05-06,디즈니+ 초이스 프리미엄,Galaxy Z Flip5,해지,타사로 이동,1등급,Y,130000,86256,50.1,0
202503,CUST0216,F,30대,2022-08-18,0000-00-00,지니 초이스 스페셜,Galaxy Z Flip5,정상,사용중,1등급,Y,110000,81608,33.4,1
202504,CUST0217,M,20대,2023-11-15,0000-00-00,유튜브 프리미엄 초이스 스페셜,Galaxy A32,정상,사용중,4등급,N,110000,80737,39.1,1
202503,CUST0218,F,30대,2021-05-21,2024-08-20,지니 초이스 베이직,iPhone SE,해지,요금 불만,2등급,Y,90000,66264,23.1,0
202505,CUST0219,M,30대,2020-11-18,0000-00-00,TVING 초이스 스페셜,Galaxy A32,일시정지,일시적인 요금 부담,5등급,N,110000,82524,37.8,1
202504,CUST0220,M,30대,2021-09-19,0000-00-00,왓챠 초이스 스페셜,Galaxy A32,정상,사용중,1등급,N,110000,84422,34.3,1
202504,CUST0221,M,10대,2021-04-17,2022-08-18,지니 초이스 스페셜,iPhone 14,해지,요금 불만,1등급,Y,110000,81501,37.5,0
202504,CUST0222,F,10대,2021-08-07,0000-00-00,넷플릭스 초이스 스페셜,Galaxy Z Flip5,일시정지,해외 장기 출장,1등급,Y,110000,80068,34,1
202503,CUST0223,F,40대,2021-12-02,0000-00-00,TVING 초이스 베이직,Galaxy Z Flip5,일시정지,해외 장기 출장,2등급,Y,90000,67397,18,1
202504,CUST0224,F,60대 이상,2021-07-25,0000-00-00,유튜브 프리미엄 초이스 프리미엄,iPhone SE,정상,사용중,4등급,Y,130000,87956,46.7,1
202504,CUST0225,M,10대,2022-01-15,0000-00-00,지니 초이스 스페셜,iPhone SE,일시정지,사용 중단 예정,4등급,N,110000,83426,39.1,1
202504,CUST0226,F,40대,2022-09-19,0000-00-00,넷플릭스 초이스 베이직,Galaxy Z Flip5,정상,사용중,3등급,Y,90000,65588,20.6,1
202505,CUST0227,F,40대,2021-06-23,0000-00-00,지니 초이스 스페셜,iPhone SE,정상,사용중,4등급,Y,110000,81939,28.2,1
202504,CUST0228,F,10대,2022-04-13,0000-00-00,지니 초이스 프리미엄,iPhone 14,일시정지,단말기 분실,1등급,N,130000,81192,46.2,1
202504,CUST0229,M,10대,2025-03-09,2024-03-07,유튜브 프리미엄 초이스 스페셜,LG Wing,해지,장기 미사용,5등급,Y,110000,84450,26.7,0
202504,CUST0230,F,50대,2022-12-19,0000-00-00,유튜브 프리미엄 초이스 베이직,Galaxy S22,정상,사용중,5등급,N,90000,70227,17.6,1
202505,CUST0231,F,10대,2022-02-14,0000-00-00,TVING 초이스 스페셜,iPhone SE,정상,사용중,4등급,Y,110000,79419,35.4,1
202503,CUST0232,M,20대,2023-05-08,0000-00-00,넷플릭스 초이스 스페셜,Galaxy Z Flip5,일시정지,일시적인 요금 부담,1등급,N,110000,84052,27.7,1
202504,CUST0233,F,30대,2023-07-14,0000-00-00,지니 초이스 프리미엄,iPhone 14,정상,사용중,3등급,N,130000,87077,52.4,1
202504,CUST0234,F,50대,2020-11-03,0000-00-00,넷플릭스 초이스 스페셜,LG Wing,일시정지,일시적인 요금 부담,3등급,Y,110000,78678,34.7,1
202504,CUST0235,M,10대,2022-12-19,2024-03-05,지니 초이스 베이직,Galaxy Z Flip5,해지,장기 미사용,5등급,Y,90000,64408,16.3,0
202505,CUST0236,M,40대,2022-05-18,2025-01-20,지니 초이스 스페셜,LG Wing,해지,타사로 이동,1등급,Y,110000,85744,26.7,0
202505,CUST0237,F,40대,2021-01-16,0000-00-00,디즈니+ 초이스 베이직,iPhone 14,정상,사용중,1등급,Y,90000,65393,14.4,1
202505,CUST0238,F,50대,2021-02-03,0000-00-00,TVING 초이스 베이직,LG Wing,정상,사용중,4등급,Y,90000,67338,19.3,1
202505,CUST0239,F,20대,2022-10-20,2024-02-09,디즈니+ 초이스 프리미엄,Galaxy Z Flip5,해지,서비스 품질 문제,1등급,N,130000,88124,42.6,0
202503,CUST0240,M,40대,2021-11-11,0000-00-00,TVING 초이스 베이직,LG Wing,정상,사용중,2등급,Y,90000,70472,13.8,1
202505,CUST0241,F,50대,2022-10-11,2022-11-04,디즈니+ 초이스 베이직,Galaxy S22,해지,타사로 이동,3등급,Y,90000,70738,11.7,0
202504,CUST0242,M,20대,2024-12-14,2025-01-20,디즈니+ 초이스 프리미엄,iPhone 14,해지,서비스 품질 문제,5등급,Y,130000,84704,43.5,0
202504,CUST0243,F,30대,2021-11-04,0000-00-00,TVING 초이스 베이직,Galaxy Z Flip5,정상,사용중,4등급,Y,90000,64561,18,1
202503,CUST0244,M,10대,2025-04-14,0000-00-00,디즈니+ 초이스 베이직,Galaxy A32,정상,사용중,2등급,N,90000,70127,22.6,1
202503,CUST0245,F,30대,2023-11-01,0000-00-00,유튜브 프리미엄 초이스 베이직,Galaxy S22,정상,사용중,5등급,Y,90000,68386,13.6,1
202504,CUST0246,F,10대,2023-09-30,0000-00-00,왓챠 초이스 스페셜,LG Wing,정상,사용중,1등급,N,110000,79080,33,1
202503,CUST0247,M,30대,2023-09-24,2025-03-13,왓챠 초이스 베이직,LG Wing,해지,요금 불만,5등급,Y,90000,69779,21,0
202503,CUST0248,F,30대,2022-08-03,2022-06-24,넷플릭스 초이스 스페셜,iPhone SE,해지,요금 불만,2등급,N,110000,84524,33,0
202504,CUST0249,F,30대,2022-11-13,0000-00-00,넷플릭스 초이스 프리미엄,iPhone 14,일시정지,일시적인 요금 부담,3등급,Y,130000,86797,58,1
202503,CUST0250,M,10대,2022-04-13,0000-00-00,TVING 초이스 스페셜,iPhone SE,정상,사용중,3등급,N,110000,86222,30.5,1
202504,CUST0251,F,10대,2022-05-03,0000-00-00,넷플릭스 초이스 프리미엄,iPhone SE,일시정지,사용 중단 예정,2등급,Y,130000,88180,47.4,1
202505,CUST0252,M,60대 이상,2020-06-29,0000-00-00,유튜브 프리미엄 초이스 베이직,LG Wing,정상,사용중,2등급,Y,90000,68487,17.7,1
202503,CUST0253,M,40대,2020-07-28,0000-00-00,지니 초이스 베이직,Galaxy S22,정상,사용중,4등급,Y,90000,67323,15.8,1
202503,CUST0254,F,10대,2024-03-21,2023-05-25,TVING 초이스 프리미엄,LG Wing,해지,단순 해지 요청,2등급,Y,130000,82124,47.9,0
202505,CUST0255,F,20대,2022-09-02,2024-04-11,지니 초이스 프리미엄,iPhone SE,해지,단순 해지 요청,1등급,Y,130000,84235,60,0
202505,CUST0256,F,50대,2023-08-20,0000-00-00,디즈니+ 초이스 베이직,Galaxy A32,일시정지,해외 장기 출장,1등급,Y,90000,64666,15.9,1
202505,CUST0257,F,30대,2021-01-25,0000-00-00,왓챠 초이스 베이직,Galaxy Z Flip5,일시정지,사용 중단 예정,5등급,N,90000,65654,14.5,1
202503,CUST0258,M,60대 이상,2020-09-30,2023-08-13,지니 초이스 스페셜,Galaxy Z Flip5,해지,단순 해지 요청,5등급,Y,110000,84595,27.4,0
202503,CUST0259,M,60대 이상,2023-03-13,0000-00-00,넷플릭스 초이스 베이직,LG Wing,정상,사용중,4등급,N,90000,68692,23,1
202504,CUST0260,M,50대,2022-07-05,0000-00-00,지니 초이스 스페셜,LG Wing,정상,사용중,3등급,Y,110000,84517,36.9,1
202505,CUST0261,F,40대,2022-05-23,2024-08-07,왓챠 초이스 베이직,Galaxy S22,해지,서비스 품질 문제,3등급,Y,90000,68696,17.4,0
202505,CUST0262,M,10대,2024-11-18,2023-06-27,넷플릭스 초이스 베이직,Galaxy Z Flip5,해지,요금 불만,4등급,Y,90000,69170,17.6,0
202505,CUST0263,F,30대,2020-11-14,2025-05-15,TVING 초이스 스페셜,iPhone SE,해지,단순 해지 요청,4등급,Y,110000,84093,28.5,0
202504,CUST0264,M,60대 이상,2023-04-09,2025-02-11,왓챠 초이스 스페셜,Galaxy S22,해지,서비스 품질 문제,3등급,Y,110000,82273,28.3,0
202504,CUST0265,M,40대,2023-09-27,0000-00-00,유튜브 프리미엄 초이스 베이직,iPhone 14,일시정지,사용 중단 예정,5등급,N,90000,66863,21.9,1
202504,CUST0266,M,60대 이상,2020-09-24,2023-11-29,지니 초이스 프리미엄,Galaxy A32,해지,장기 미사용,4등급,Y,130000,88598,50.5,0
202504,CUST0267,F,20대,2020-06-17,0000-00-00,지니 초이스 프리미엄,iPhone SE,일시정지,일시적인 요금 부담,4등급,Y,130000,84671,48.4,1
202503,CUST0268,M,30대,2022-05-04,0000-00-00,지니 초이스 스페셜,Galaxy Z Flip5,정상,사용중,4등급,Y,110000,84059,37.4,1
202505,CUST0269,M,20대,2025-04-19,0000-00-00,지니 초이스 베이직,Galaxy A32,정상,사용중,5등급,Y,90000,64255,16.4,1
202505,CUST0270,M,60대 이상,2021-10-23,2025-02-25,왓챠 초이스 프리미엄,iPhone SE,해지,타사로 이동,2등급,Y,130000,84751,58.1,0
202503,CUST0271,F,10대,2021-05-14,2024-12-20,유튜브 프리미엄 초이스 베이직,Galaxy S22,해지,타사로 이동,3등급,N,90000,65521,20.6,0
202504,CUST0272,M,10대,2024-05-01,0000-00-00,왓챠 초이스 베이직,Galaxy S22,일시정지,단말기 분실,5등급,Y,90000,64753,21,1
202504,CUST0273,F,30대,2021-01-17,2024-04-15,디즈니+ 초이스 프리미엄,Galaxy S22,해지,장기 미사용,1등급,Y,130000,83749,44.9,0
202504,CUST0274,M,10대,2022-08-22,2022-10-30,지니 초이스 베이직,LG Wing,해지,서비스 품질 문제,5등급,Y,90000,70247,19.8,0
202505,CUST0275,F,50대,2022-09-21,0000-00-00,디즈니+ 초이스 베이직,LG Wing,정상,사용중,4등급,Y,90000,68844,18.1,1
202505,CUST0276,F,10대,2022-09-26,0000-00-00,TVING 초이스 프리미엄,Galaxy S22,일시정지,사용 중단 예정,4등급,N,130000,82114,53,1
202504,CUST0277,M,10대,2022-06-08,0000-00-00,디즈니+ 초이스 스페셜,Galaxy S22,일시정지,단말기 분실,2등급,Y,110000,86568,39.9,1
202503,CUST0278,M,30대,2025-03-15,0000-00-00,TVING 초이스 베이직,Galaxy S22,일시정지,일시적인 요금 부담,5등급,Y,90000,67601,17.3,1
202504,CUST0279,M,30대,2020-09-27,2023-05-22,왓챠 초이스 스페셜,Galaxy A32,해지,서비스 품질 문제,1등급,Y,110000,79034,25.9,0
202504,CUST0280,F,40대,2020-11-07,0000-00-00,지니 초이스 베이직,Galaxy S22,정상,사용중,4등급,Y,90000,66841,20.6,1
202503,CUST0281,F,20대,2022-03-14,0000-00-00,왓챠 초이스 스페셜,iPhone 14,정상,사용중,1등급,Y,110000,83634,27.6,1
202503,CUST0282,M,60대 이상,2025-03-29,2022-12-14,유튜브 프리미엄 초이스 스페셜,iPhone SE,해지,장기 미사용,5등급,Y,110000,82042,30.5,0
202505,CUST0283,F,10대,2025-05-28,0000-00-00,유튜브 프리미엄 초이스 베이직,Galaxy Z Flip5,정상,사용중,1등급,Y,90000,70576,18,1
202504,CUST0284,M,40대,2021-08-24,2023-08-07,TVING 초이스 베이직,Galaxy Z Flip5,해지,요금 불만,1등급,N,90000,64966,21.4,0
202505,CUST0285,M,40대,2025-05-22,0000-00-00,유튜브 프리미엄 초이스 베이직,Galaxy A32,일시정지,일시적인 요금 부담,4등급,Y,90000,64429,17.2,1
202503,CUST0286,F,60대 이상,2024-08-28,0000-00-00,지니 초이스 프리미엄,LG Wing,일시정지,사용 중단 예정,5등급,Y,130000,87714,59.2,1
202503,CUST0287,F,40대,2024-04-09,0000-00-00,지니 초이스 스페셜,Galaxy S22,정상,사용중,4등급,N,110000,83052,28.4,1
202504,CUST0288,F,50대,2022-11-15,0000-00-00,지니 초이스 베이직,iPhone 14,일시정지,사용 중단 예정,3등급,Y,90000,64722,18.3,1
202503,CUST0289,F,20대,2022-06-28,0000-00-00,지니 초이스 스페셜,iPhone SE,일시정지,일시적인 요금 부담,3등급,Y,110000,86466,38.7,1
202505,CUST0290,F,30대,2024-02-13,2022-11-01,유튜브 프리미엄 초이스 프리미엄,iPhone 14,해지,장기 미사용,4등급,Y,130000,84600,53.6,0
202504,CUST0291,F,60대 이상,2022-09-19,2023-06-14,넷플릭스 초이스 프리미엄,iPhone 14,해지,단순 해지 요청,4등급,N,130000,86414,51,0
202504,CUST0292,F,30대,2022-05-13,0000-00-00,TVING 초이스 스페셜,Galaxy Z Flip5,일시정지,단말기 분실,3등급,N,110000,85950,26.9,1
202504,CUST0293,F,60대 이상,2022-11-24,0000-00-00,넷플릭스 초이스 프리미엄,Galaxy A32,정상,사용중,5등급,Y,130000,84148,56.4,1
202504,CUST0294,F,60대 이상,2022-06-17,2022-11-11,유튜브 프리미엄 초이스 베이직,Galaxy S22,해지,단순 해지 요청,2등급,Y,90000,69695,13.2,0
202505,CUST0295,F,20대,2025-04-27,0000-00-00,넷플릭스 초이스 베이직,Galaxy A32,일시정지,일시적인 요금 부담,2등급,Y,90000,68300,24,1
202505,CUST0296,F,60대 이상,2023-10-19,0000-00-00,지니 초이스 베이직,Galaxy Z Flip5,정상,사용중,4등급,Y,90000,66138,23.1,1
202505,CUST0297,F,20대,2023-12-28,2024-09-03,디즈니+ 초이스 베이직,iPhone 14,해지,서비스 품질 문제,4등급,N,90000,67228,17.8,0
202503,CUST0298,M,50대,2025-03-30,0000-00-00,TVING 초이스 프리미엄,iPhone 14,정상,사용중,2등급,Y,130000,88629,56.1,1
202503,CUST0299,M,60대 이상,2021-02-14,0000-00-00,왓챠 초이스 스페셜,Galaxy A32,정상,사용중,5등급,Y,110000,83631,31.1,1
202503,CUST0300,F,60대 이상,2023-02-03,0000-00-00,왓챠 초이스 베이직,iPhone 14,일시정지,해외 장기 출장,4등급,Y,90000,64977,16.8,1
202504,CUST0301,M,60대 이상,2025-05-24,0000-00-00,넷플릭스 초이스 베이직,Galaxy S22,일시정지,해외 장기 출장,1등급,Y,90000,69002,13.5,1
202504,CUST0302,F,60대 이상,2021-12-16,0000-00-00,왓챠 초이스 프리미엄,LG Wing,일시정지,일시적인 요금 부담,5등급,Y,130000,85444,45.6,1
202505,CUST0303,M,20대,2020-11-13,0000-00-00,왓챠 초이스 베이직,Galaxy S22,일시정지,해외 장기 출장,3등급,N,90000,68823,13.2,1
202503,CUST0304,M,10대,2025-04-27,2023-10-23,TVING 초이스 프리미엄,Galaxy A32,해지,단순 해지 요청,3등급,Y,130000,81689,50.5,0
202504,CUST0305,F,30대,2020-08-24,2023-10-14,지니 초이스 스페셜,Galaxy Z Flip5,해지,장기 미사용,1등급,N,110000,81682,34.6,0
202505,CUST0306,M,20대,2023-09-04,0000-00-00,TVING 초이스 스페셜,Galaxy A32,일시정지,해외 장기 출장,3등급,N,110000,85657,25.1,1
202504,CUST0307,F,40대,2022-10-14,0000-00-00,지니 초이스 베이직,LG Wing,일시정지,사용 중단 예정,2등급,Y,90000,68717,15.4,1
202503,CUST0308,F,30대,2022-12-30,0000-00-00,디즈니+ 초이스 베이직,Galaxy Z Flip5,정상,사용중,1등급,Y,90000,67296,17.5,1
202504,CUST0309,M,50대,2024-01-19,2023-12-06,TVING 초이스 스페셜,Galaxy Z Flip5,해지,요금 불만,5등급,Y,110000,83358,27.4,0
202505,CUST0310,F,20대,2024-01-29,0000-00-00,유튜브 프리미엄 초이스 스페셜,Galaxy A32,일시정지,사용 중단 예정,3등급,N,110000,81800,29.2,1
202503,CUST0311,F,30대,2022-03-19,2023-01-31,왓챠 초이스 스페셜,Galaxy A32,해지,서비스 품질 문제,5등급,Y,110000,85518,38.3,0
202503,CUST0312,F,30대,2023-09-08,2022-10-31,유튜브 프리미엄 초이스 스페셜,LG Wing,해지,요금 불만,5등급,N,110000,78568,27.8,0
202505,CUST0313,M,60대 이상,2024-08-05,2023-07-07,디즈니+ 초이스 베이직,iPhone SE,해지,장기 미사용,1등급,Y,90000,68603,21.5,0
202505,CUST0314,F,50대,2020-12-13,0000-00-00,TVING 초이스 프리미엄,Galaxy S22,일시정지,해외 장기 출장,4등급,Y,130000,84533,43.9,1
202504,CUST0315,F,50대,2024-06-09,2022-12-19,유튜브 프리미엄 초이스 프리미엄,iPhone SE,해지,장기 미사용,3등급,Y,130000,83227,49.2,0
202505,CUST0316,M,10대,2022-10-15,0000-00-00,유튜브 프리미엄 초이스 베이직,Galaxy Z Flip5,정상,사용중,4등급,Y,90000,64260,24.2,1
202504,CUST0317,M,40대,2021-03-04,0000-00-00,TVING 초이스 베이직,iPhone SE,정상,사용중,1등급,N,90000,65975,13.5,1
202503,CUST0318,M,50대,2024-10-10,0000-00-00,왓챠 초이스 베이직,LG Wing,일시정지,해외 장기 출장,4등급,N,90000,69010,19.3,1
202505,CUST0319,F,60대 이상,2021-01-09,0000-00-00,넷플릭스 초이스 베이직,iPhone SE,일시정지,해외 장기 출장,4등급,Y,90000,64607,22.1,1
202505,CUST0320,M,60대 이상,2021-06-22,0000-00-00,TVING 초이스 베이직,Galaxy A32,일시정지,일시적인 요금 부담,5등급,Y,90000,65950,23.5,1
202505,CUST0321,M,30대,2021-10-21,2025-02-23,디즈니+ 초이스 베이직,Galaxy Z Flip5,해지,장기 미사용,5등급,N,90000,66751,15.1,0
202505,CUST0322,M,60대 이상,2024-01-14,0000-00-00,디즈니+ 초이스 스페셜,Galaxy A32,정상,사용중,1등급,Y,110000,82346,39.8,1
202503,CUST0323,F,30대,2021-12-29,0000-00-00,TVING 초이스 스페셜,Galaxy Z Flip5,정상,사용중,5등급,Y,110000,82160,34.7,1
202505,CUST0324,F,50대,2021-05-11,0000-00-00,디즈니+ 초이스 베이직,iPhone SE,정상,사용중,3등급,Y,90000,65989,16.5,1
202503,CUST0325,M,10대,2023-01-09,2023-12-28,왓챠 초이스 프리미엄,Galaxy S22,해지,서비스 품질 문제,1등급,Y,130000,87380,52.6,0
202504,CUST0326,M,50대,2024-04-15,0000-00-00,지니 초이스 프리미엄,Galaxy Z Flip5,정상,사용중,5등급,N,130000,85282,47.5,1
202503,CUST0327,F,40대,2024-02-09,0000-00-00,디즈니+ 초이스 베이직,Galaxy A32,정상,사용중,5등급,Y,90000,66175,13.8,1
202504,CUST0328,M,10대,2021-06-14,2023-01-07,지니 초이스 베이직,LG Wing,해지,단순 해지 요청,4등급,Y,90000,66139,16.8,0
202504,CUST0329,M,10대,2020-07-11,0000-00-00,넷플릭스 초이스 프리미엄,Galaxy A32,정상,사용중,5등급,N,130000,88404,42.7,1
202503,CUST0330,F,20대,2021-07-12,0000-00-00,디즈니+ 초이스 스페셜,Galaxy S22,정상,사용중,2등급,Y,110000,80315,30.2,1
202504,CUST0331,M,40대,2023-05-21,0000-00-00,유튜브 프리미엄 초이스 베이직,Galaxy Z Flip5,정상,사용중,1등급,N,90000,65484,10.5,1
202503,CUST0332,F,20대,2020-08-01,0000-00-00,디즈니+ 초이스 프리미엄,LG Wing,정상,사용중,4등급,Y,130000,81709,45.6,1
202503,CUST0333,M,20대,2023-11-29,2025-03-26,유튜브 프리미엄 초이스 스페셜,iPhone 14,해지,장기 미사용,2등급,Y,110000,85867,31.1,0
202505,CUST0334,M,20대,2020-08-29,0000-00-00,유튜브 프리미엄 초이스 베이직,iPhone 14,정상,사용중,2등급,Y,90000,67113,19.1,1
202505,CUST0335,F,60대 이상,2023-09-14,0000-00-00,유튜브 프리미엄 초이스 베이직,Galaxy S22,일시정지,해외 장기 출장,2등급,Y,90000,67395,19.5,1
202504,CUST0336,M,40대,2021-09-21,2024-10-19,넷플릭스 초이스 베이직,iPhone 14,해지,타사로 이동,5등급,Y,90000,66746,13,0
202505,CUST0337,M,60대 이상,2023-10-26,0000-00-00,넷플릭스 초이스 프리미엄,Galaxy A32,일시정지,일시적인 요금 부담,5등급,Y,130000,87632,41.9,1
202503,CUST0338,M,40대,2024-01-23,0000-00-00,왓챠 초이스 스페셜,Galaxy Z Flip5,일시정지,단말기 분실,2등급,N,110000,78647,34.6,1
202504,CUST0339,M,50대,2022-07-27,0000-00-00,유튜브 프리미엄 초이스 스페셜,Galaxy S22,일시정지,일시적인 요금 부담,3등급,Y,110000,79898,37.6,1
202504,CUST0340,M,40대,2025-04-21,0000-00-00,유튜브 프리미엄 초이스 베이직,iPhone 14,정상,사용중,4등급,Y,90000,67201,17.4,1
202505,CUST0341,M,40대,2023-07-30,0000-00-00,유튜브 프리미엄 초이스 베이직,iPhone SE,일시정지,사용 중단 예정,2등급,Y,90000,67347,17.3,1
202503,CUST0342,M,50대,2020-09-24,2022-12-26,넷플릭스 초이스 스페셜,Galaxy S22,해지,서비스 품질 문제,1등급,N,110000,82365,34.9,0
202505,CUST0343,F,30대,2020-07-07,2023-10-05,왓챠 초이스 프리미엄,Galaxy S22,해지,단순 해지 요청,1등급,N,130000,85556,57.3,0
202504,CUST0344,F,20대,2021-07-05,2023-01-22,디즈니+ 초이스 스페셜,iPhone 14,해지,단순 해지 요청,5등급,N,110000,82970,38.2,0
